Datetime,Open,High,Low,Close,Volume
2020-05-29 10:53:00-04:00,180.91000366210938,180.97000122070312,180.86000061035156,180.9199981689453,93389
2020-05-29 10:54:00-04:00,180.94000244140625,180.96200561523438,180.8300018310547,180.8699951171875,68385
2020-05-29 10:55:00-04:00,180.87989807128906,181.0399932861328,180.8699951171875,180.8800048828125,62396
2020-05-29 10:56:00-04:00,180.8699951171875,181.10000610351562,180.84500122070312,181.0,121561
2020-05-29 10:57:00-04:00,181.0,181.24000549316406,180.99000549316406,181.19000244140625,153706
2020-05-29 10:58:00-04:00,181.17999267578125,181.17999267578125,181.09500122070312,181.1699981689453,17519
2020-05-29 10:59:00-04:00,181.22000122070312,181.27000427246094,181.17999267578125,181.19000244140625,138274
2020-05-29 11:00:00-04:00,181.1999969482422,181.35000610351562,181.19000244140625,181.24000549316406,74441
2020-05-29 11:01:00-04:00,181.24000549316406,181.2899932861328,180.9499969482422,181.02000427246094,68310
2020-05-29 11:02:00-04:00,181.00999450683594,181.1300048828125,180.89999389648438,181.1199951171875,64813
2020-05-29 11:03:00-04:00,180.55999755859375,180.6051025390625,180.41000366210938,180.5749969482422,201919
2020-05-29 11:04:00-04:00,180.54879760742188,180.7100067138672,180.51040649414062,180.5500030517578,85161
2020-05-29 11:05:00-04:00,180.5507049560547,180.77000427246094,180.47000122070312,180.55999755859375,88919
2020-05-29 11:06:00-04:00,180.5500030517578,180.60000610351562,180.44000244140625,180.5500030517578,125053
2020-05-29 11:07:00-04:00,180.55499267578125,180.8000030517578,180.47999572753906,180.77000427246094,130048
2020-05-29 11:08:00-04:00,180.77999877929688,180.86500549316406,180.72000122070312,180.74000549316406,52611
2020-05-29 11:09:00-04:00,180.75,180.77999877929688,180.4199981689453,180.49000549316406,75284
2020-05-29 11:10:00-04:00,180.47999572753906,180.72970581054688,180.47999572753906,180.72970581054688,103262
2020-05-29 11:11:00-04:00,180.72500610351562,180.84500122070312,180.6999969482422,180.8000030517578,73870
2020-05-29 11:12:00-04:00,180.7899932861328,180.9499969482422,180.75,180.88999938964844,80243
2020-05-29 11:13:00-04:00,180.8699951171875,180.94509887695312,180.80999755859375,180.8800048828125,52008
2020-05-29 11:14:00-04:00,180.87620544433594,180.97999572753906,180.86000061035156,180.92999267578125,50786
2020-05-29 11:15:00-04:00,180.94000244140625,181.0,180.8800048828125,180.92999267578125,48161
2020-05-29 11:16:00-04:00,180.9573974609375,181.11000061035156,180.9199981689453,181.10000610351562,47358
2020-05-29 11:17:00-04:00,181.10260009765625,181.1699981689453,180.88999938964844,180.92999267578125,64563
2020-05-29 11:18:00-04:00,180.94000244140625,181.0,180.8800048828125,180.8800048828125,41042
2020-05-29 11:19:00-04:00,180.875,181.07000732421875,180.77999877929688,180.97999572753906,112049
2020-05-29 11:20:00-04:00,180.97000122070312,181.14999389648438,180.9600067138672,181.08999633789062,51713
2020-05-29 11:21:00-04:00,181.0800018310547,181.12869262695312,181.0399932861328,181.0500030517578,44928
2020-05-29 11:22:00-04:00,181.05499267578125,181.1199951171875,181.0,181.0800018310547,35834
2020-05-29 11:23:00-04:00,181.07000732421875,181.14999389648438,180.8699951171875,180.91000366210938,59944
2020-05-29 11:24:00-04:00,180.88999938964844,181.0,180.82789611816406,180.8300018310547,43895
2020-05-29 11:25:00-04:00,180.83999633789062,180.99000549316406,180.77999877929688,180.9759979248047,50822
2020-05-29 11:26:00-04:00,180.97999572753906,181.01499938964844,180.85000610351562,180.98080444335938,37616
2020-05-29 11:27:00-04:00,180.97000122070312,181.05999755859375,180.9199981689453,181.0500030517578,36053
2020-05-29 11:28:00-04:00,181.0500030517578,181.14999389648438,180.88800048828125,180.93499755859375,78384
2020-05-29 11:29:00-04:00,180.9600067138672,181.1199951171875,180.85000610351562,180.9499969482422,66742
2020-05-29 11:30:00-04:00,180.9499969482422,180.97999572753906,180.77999877929688,180.86000061035156,74457
2020-05-29 11:31:00-04:00,180.85000610351562,180.86500549316406,180.60000610351562,180.67999267578125,56894
2020-05-29 11:32:00-04:00,180.67999267578125,180.72999572753906,180.4499969482422,180.6999969482422,74550
2020-05-29 11:33:00-04:00,180.7100067138672,180.8300018310547,180.6699981689453,180.74000549316406,67455
2020-05-29 11:34:00-04:00,180.7449951171875,180.82000732421875,180.57000732421875,180.60000610351562,52753
2020-05-29 11:35:00-04:00,180.5800018310547,180.77999877929688,180.4499969482422,180.75999450683594,86332
2020-05-29 11:36:00-04:00,180.74000549316406,180.7899932861328,180.66000366210938,180.7449951171875,52209
2020-05-29 11:37:00-04:00,180.7550048828125,180.97000122070312,180.75,180.90109252929688,69995
2020-05-29 11:38:00-04:00,180.89999389648438,180.9550018310547,180.85000610351562,180.91009521484375,37196
2020-05-29 11:39:00-04:00,180.918701171875,180.99000549316406,180.87600708007812,180.98199462890625,42685
2020-05-29 11:40:00-04:00,180.97000122070312,181.0800018310547,180.94000244140625,181.01010131835938,84120
2020-05-29 11:41:00-04:00,181.02000427246094,181.14999389648438,180.99000549316406,181.14999389648438,69050
2020-05-29 11:42:00-04:00,181.16000366210938,181.1999969482422,181.0500030517578,181.1999969482422,45345
2020-05-29 11:43:00-04:00,181.1750030517578,181.25,181.10000610351562,181.22000122070312,53872
2020-05-29 11:44:00-04:00,181.2100067138672,181.3300018310547,181.17999267578125,181.27000427246094,52222
2020-05-29 11:45:00-04:00,181.27999877929688,181.38999938964844,181.1999969482422,181.2550048828125,73542
2020-05-29 11:46:00-04:00,181.25999450683594,181.49000549316406,181.25999450683594,181.4700927734375,71026
2020-05-29 11:47:00-04:00,181.47500610351562,181.67999267578125,181.47000122070312,181.6300048828125,66234
2020-05-29 11:48:00-04:00,181.6300048828125,181.69000244140625,181.58999633789062,181.6649932861328,61759
2020-05-29 11:49:00-04:00,181.66000366210938,181.73739624023438,181.65499877929688,181.69009399414062,49436
2020-05-29 11:50:00-04:00,181.6999969482422,181.76739501953125,181.60000610351562,181.7550048828125,68175
2020-05-29 11:51:00-04:00,181.7342987060547,181.74989318847656,181.58999633789062,181.58999633789062,59892
2020-05-29 11:52:00-04:00,181.5850067138672,181.75,181.52000427246094,181.74000549316406,63008
2020-05-29 11:53:00-04:00,181.74000549316406,181.7899932861328,181.7100067138672,181.72000122070312,53337
2020-05-29 11:54:00-04:00,181.72500610351562,181.74569702148438,181.69000244140625,181.72999572753906,42210
2020-05-29 11:55:00-04:00,181.72000122070312,181.89999389648438,181.72000122070312,181.8957061767578,61288
2020-05-29 11:56:00-04:00,181.89500427246094,181.94000244140625,181.83999633789062,181.87120056152344,52904
2020-05-29 11:57:00-04:00,181.86000061035156,181.8800048828125,181.7899932861328,181.8800048828125,33162
2020-05-29 11:58:00-04:00,181.87010192871094,181.88999938964844,181.75,181.75,37067
2020-05-29 11:59:00-04:00,181.75,181.8699951171875,181.69500732421875,181.8699951171875,42580
2020-05-29 12:00:00-04:00,181.8800048828125,181.91000366210938,181.7913055419922,181.83120727539062,37065
2020-05-29 12:01:00-04:00,181.82000732421875,181.82000732421875,181.67999267578125,181.7100067138672,31285
2020-05-29 12:02:00-04:00,181.7100067138672,181.9499969482422,181.7100067138672,181.92140197753906,58184
2020-05-29 12:03:00-04:00,181.90499877929688,181.9597930908203,181.86000061035156,181.94000244140625,41828
2020-05-29 12:04:00-04:00,181.94500732421875,182.0,181.83999633789062,181.91000366210938,37273
2020-05-29 12:05:00-04:00,181.94000244140625,181.99000549316406,181.82000732421875,181.83999633789062,34257
2020-05-29 12:06:00-04:00,181.85000610351562,181.9196014404297,181.80999755859375,181.83999633789062,30966
2020-05-29 12:07:00-04:00,181.84500122070312,181.91000366210938,181.80999755859375,181.83999633789062,28639
2020-05-29 12:08:00-04:00,181.82000732421875,181.83999633789062,181.69000244140625,181.6999969482422,73926
