,Unnamed: 0,Unnamed: 0.1,Datetime,Open,High,Low,Close,Volume,ma,moving average 5,moving average 10,moving average 20
1270,1270,1270,2020-05-28 09:05:00-04:00,179.23,179.23,178.96,178.96,0,179.059,178.829,0.0619999999999834,179.197
1271,1271,1271,2020-05-28 09:06:00-04:00,178.99,179.04,178.75,178.77,0,179.006,178.846,0.20699999999999363,179.172
1272,1272,1272,2020-05-28 09:07:00-04:00,178.75,179.0,178.61,179.0,0,178.961,178.886,-0.019000000000005457,179.155
1273,1273,1273,2020-05-28 09:08:00-04:00,179.0,179.0,178.91,178.91,0,178.907,178.938,0.057999999999992724,179.131
1274,1274,1274,2020-05-28 09:09:00-04:00,179.0,179.05,178.61,178.83,0,178.86,178.894,0.11299999999999955,179.107
1275,1275,1275,2020-05-28 09:10:00-04:00,178.66,178.73,178.5,178.6,0,178.826,178.822,0.2810000000000059,179.072
1276,1276,1276,2020-05-28 09:11:00-04:00,178.6,179.0,178.5635,179.0,0,178.857,178.868,-0.09800000000001319,179.087
1277,1277,1277,2020-05-28 09:12:00-04:00,178.96,179.0,178.93,178.99,0,178.876,178.866,-0.07200000000000273,179.069
1278,1278,1278,2020-05-28 09:13:00-04:00,179.0,179.2,179.0,179.19,0,178.93,178.922,-0.2220000000000084,179.039
1279,1279,1279,2020-05-28 09:14:00-04:00,179.1896,179.26,179.1,179.26,0,178.951,179.008,-0.23900000000000432,179.026
1280,1280,1280,2020-05-28 09:15:00-04:00,179.5,179.5,179.2,179.4,0,178.995,179.168,-0.3100000000000023,179.027
1281,1281,1281,2020-05-28 09:16:00-04:00,179.35,179.6,179.2541,179.6,0,179.078,179.288,-0.4170000000000016,179.042
1282,1282,1282,2020-05-28 09:17:00-04:00,179.58,179.65,179.58,179.65,0,179.143,179.42,-0.382000000000005,179.052
1283,1283,1283,2020-05-28 09:18:00-04:00,179.6,179.6,179.5204,179.5204,0,179.204,179.486,-0.2074000000000069,179.055
1284,1284,1284,2020-05-28 09:19:00-04:00,179.52,179.63,179.5,179.5,0,179.271,179.534,-0.1529999999999916,179.065
1285,1285,1285,2020-05-28 09:20:00-04:00,179.6,179.6,179.59,179.59,0,179.37,179.572,-0.1980000000000075,179.098
