 ,Datetime,Open,High,Low,Close,Volume
1921,2020-06-01 08:15:00-04:00,182.9999,183.0,182.9,182.95,0
1922,2020-06-01 08:16:00-04:00,182.8328,182.951,182.8309,182.8309,0
1923,2020-06-01 08:17:00-04:00,182.9,182.9,182.9,182.9,0
1924,2020-06-01 08:18:00-04:00,182.83,183.0,182.83,183.0,0
1925,2020-06-01 08:19:00-04:00,182.86,182.86,182.84,182.84,0
1926,2020-06-01 08:20:00-04:00,182.83,182.83,182.76,182.76,0
1927,2020-06-01 08:21:00-04:00,182.7604,182.78,182.7604,182.78,0
1928,2020-06-01 08:22:00-04:00,182.77,182.77,182.72,182.72,0
1929,2020-06-01 08:24:00-04:00,182.75,182.75,182.7233,182.7233,0
1930,2020-06-01 08:28:00-04:00,182.7,182.7,182.7,182.7,0
1931,2020-06-01 08:30:00-04:00,182.81,182.82,182.81,182.82,0
1932,2020-06-01 08:31:00-04:00,182.73,182.73,182.5,182.5,0
1933,2020-06-01 08:32:00-04:00,182.6,182.6,182.6,182.6,0
1934,2020-06-01 08:34:00-04:00,182.5055,182.5055,182.5,182.5,0
1935,2020-06-01 08:36:00-04:00,182.55,182.55,182.3,182.3,0
1936,2020-06-01 08:37:00-04:00,182.31,182.31,182.31,182.31,0
1937,2020-06-01 08:38:00-04:00,182.5,182.5,182.5,182.5,0
1938,2020-06-01 08:39:00-04:00,182.5,182.5,182.5,182.5,0
1939,2020-06-01 08:41:00-04:00,182.5,182.5,182.5,182.5,0
1940,2020-06-01 08:42:00-04:00,182.5001,182.5001,182.5001,182.5001,0
1941,2020-06-01 08:44:00-04:00,182.5,182.5,182.5,182.5,0
1942,2020-06-01 08:46:00-04:00,182.5006,182.5006,182.5,182.5,0
1943,2020-06-01 08:47:00-04:00,182.5,182.69799999999998,182.5,182.69799999999998,0
1944,2020-06-01 08:48:00-04:00,182.6,182.6,182.6,182.6,0
1945,2020-06-01 08:50:00-04:00,183.25,183.25,182.5,182.5,0
1946,2020-06-01 08:51:00-04:00,182.5,182.5,182.5,182.5,0
1947,2020-06-01 08:52:00-04:00,182.38,182.38,182.27,182.27,0
1948,2020-06-01 08:54:00-04:00,182.4,182.4,182.4,182.4,0
1949,2020-06-01 08:55:00-04:00,182.45,182.5,182.45,182.5,0
1950,2020-06-01 08:56:00-04:00,182.3865,182.768,182.3865,182.768,0
1951,2020-06-01 08:57:00-04:00,182.7127,182.7127,182.7127,182.7127,0
1952,2020-06-01 08:59:00-04:00,182.5,182.5,182.49,182.49,0
1953,2020-06-01 09:00:00-04:00,182.45,182.5495,182.35,182.35,0
1954,2020-06-01 09:01:00-04:00,182.3,182.6215,182.27,182.27,0
1955,2020-06-01 09:02:00-04:00,182.2705,182.6439,182.22,182.6439,0
1956,2020-06-01 09:03:00-04:00,182.4999,182.5,182.4999,182.5,0
1957,2020-06-01 09:04:00-04:00,182.6412,182.65,182.305,182.305,0
1958,2020-06-01 09:05:00-04:00,182.32,182.32,182.3,182.3,0
1959,2020-06-01 09:06:00-04:00,182.55,182.55,182.55,182.55,0
1960,2020-06-01 09:07:00-04:00,182.3,182.3001,182.3,182.3001,0
1961,2020-06-01 09:11:00-04:00,182.5,182.5,182.5,182.5,0
1962,2020-06-01 09:12:00-04:00,182.5,182.54,182.5,182.54,0
1963,2020-06-01 09:13:00-04:00,182.32,182.32,182.32,182.32,0
1964,2020-06-01 09:14:00-04:00,182.32,182.34,182.29,182.29,0
1965,2020-06-01 09:15:00-04:00,182.29,182.29,182.22,182.22,0
1966,2020-06-01 09:16:00-04:00,182.19,182.27,182.12,182.27,0
1967,2020-06-01 09:17:00-04:00,182.16,182.18,182.13,182.18,0
1968,2020-06-01 09:18:00-04:00,182.18,182.25,182.13,182.25,0
1969,2020-06-01 09:20:00-04:00,182.2,182.27,182.2,182.27,0
1970,2020-06-01 09:21:00-04:00,182.21,182.27,182.21,182.27,0
1971,2020-06-01 09:22:00-04:00,182.43,182.43,182.43,182.43,0
1972,2020-06-01 09:24:00-04:00,182.4,182.54,182.4,182.52,0
1973,2020-06-01 09:25:00-04:00,182.5398,182.5398,182.5398,182.5398,0
1974,2020-06-01 09:26:00-04:00,182.37,182.37,182.37,182.37,0
1975,2020-06-01 09:27:00-04:00,182.38,182.38,182.38,182.38,0
1976,2020-06-01 09:28:00-04:00,182.36,182.36,182.35,182.35,0
1977,2020-06-01 09:29:00-04:00,182.35,182.35,182.35,182.35,0
1978,2020-06-01 09:30:00-04:00,182.5399932861328,182.6300048828125,181.6100006103516,181.75999450683597,824242
1979,2020-06-01 09:31:00-04:00,181.80999755859372,182.17999267578125,181.72999572753903,182.07000732421875,98261
1980,2020-06-01 09:32:00-04:00,182.55999755859372,182.6190948486328,182.41000366210938,182.47999572753903,189736
1981,2020-06-01 09:33:00-04:00,182.50999450683597,182.5399932861328,182.2700042724609,182.3000030517578,115564
1982,2020-06-01 09:34:00-04:00,182.2949981689453,182.33999633789062,182.0500030517578,182.25,92932
1983,2020-06-01 09:35:00-04:00,182.25,182.3800048828125,182.0500946044922,182.09649658203125,98645
1984,2020-06-01 09:36:00-04:00,182.0500030517578,182.1000061035156,181.57000732421875,181.6000061035156,141897
1985,2020-06-01 09:37:00-04:00,181.6100006103516,181.8600006103516,181.5800018310547,181.75,126412
1986,2020-06-01 09:38:00-04:00,181.72999572753903,181.7480010986328,181.63999938964844,181.66000366210938,100502
1987,2020-06-01 09:39:00-04:00,181.65989685058597,181.69000244140625,181.4600067138672,181.57000732421875,184318
1988,2020-06-01 09:40:00-04:00,181.58999633789062,181.69500732421875,181.5399932861328,181.6199951171875,166139
1989,2020-06-01 09:41:00-04:00,181.63999938964844,181.8500061035156,181.58999633789062,181.58999633789062,148418
1990,2020-06-01 09:42:00-04:00,181.5800018310547,182.0890045166016,181.5200042724609,182.0399932861328,178899
1991,2020-06-01 09:43:00-04:00,182.0200042724609,182.13999938964844,181.9499969482422,182.0800018310547,120583
1992,2020-06-01 09:44:00-04:00,182.1000061035156,182.2895050048828,182.0399932861328,182.0399932861328,131376
1993,2020-06-01 09:45:00-04:00,182.0800018310547,182.24989318847656,182.07000732421875,182.1699981689453,103041
